subject_id,Set#,hrtf,audio,azi,ele,Location,Trail #,azi_error,azi_error,ele_error,ele_error,Azi,Location 
3,2,generic,noise,-80,-22.5,A,1,-4.961171972,4.961171972,-48.70561198,48.70561198,,
3,2,generic,noise,0,-16.875,C,2,-6.141029958,6.141029958,-10.72434393,10.72434393,,
3,2,generic,noise,65,73.125,E,1,19.91288494,19.91288494,50.1560834,50.1560834,,
3,2,generic,noise,0,-16.875,C,3,-1.41493652,1.41493652,-8.107465884,8.107465884,,
3,2,generic,noise,-35,39.375,B,1,-35.91918967,35.91918967,31.46648947,31.46648947,,
3,2,generic,noise,65,73.125,E,2,23.32415456,23.32415456,30.31244919,30.31244919,,
3,2,generic,noise,-80,-22.5,A,2,-0.744843759,0.744843759,-53.2544,53.2544,,
3,2,generic,noise,0,-16.875,C,4,-1.894506717,1.894506717,-7.029067668,7.029067668,,
3,2,generic,noise,-80,-22.5,A,3,-15.61134543,15.61134543,-45.12189977,45.12189977,,
3,2,generic,noise,45,0,D,3,32.43408191,32.43408191,-8.269069572,8.269069572,,
3,2,generic,noise,65,73.125,E,3,18.49716416,18.49716416,48.44232683,48.44232683,,
3,2,generic,noise,-35,39.375,B,2,-14.63195765,14.63195765,11.5273275,11.5273275,,
3,2,generic,noise,-35,39.375,B,3,-14.04561511,14.04561511,20.57146889,20.57146889,,
3,2,generic,noise,65,73.125,E,4,20.560849,20.560849,41.66013112,41.66013112,,
3,2,generic,noise,-35,39.375,B,4,-30.44613017,30.44613017,6.841618744,6.841618744,,
3,2,generic,noise,45,0,D,4,28.20130343,28.20130343,-9.419897245,9.419897245,,
3,2,generic,noise,-80,-22.5,A,4,-4.49865319,4.49865319,-50.68205918,50.68205918,,
3,2,generic,music,65,73.125,E,1,-19.24346456,19.24346456,89.28224346,89.28224346,,
3,2,generic,music,-80,-22.5,A,1,-7.50142012,7.50142012,-105.0667634,105.0667634,,
3,2,generic,music,0,-16.875,C,1,21.65432741,21.65432741,-18.4325366,18.4325366,,
3,2,generic,music,65,73.125,E,2,-17.26904796,17.26904796,-2.21934812,2.21934812,,
3,2,generic,music,-80,-22.5,A,2,-7.590452945,7.590452945,-88.58541286,88.58541286,,
3,2,generic,music,-80,-22.5,A,3,-12.71828828,12.71828828,-61.54852496,61.54852496,,
3,2,generic,music,65,73.125,E,3,-12.50392023,12.50392023,53.95911857,53.95911857,,
3,2,generic,music,-80,-22.5,A,4,-8.187971667,8.187971667,-62.38405854,62.38405854,,
3,2,generic,music,45,0,D,1,-6.653121029,6.653121029,-49.6240325,49.6240325,,
3,2,generic,music,0,-16.875,C,2,20.28867981,20.28867981,-25.8335275,25.8335275,,
3,2,generic,music,-35,39.375,B,1,30.78722831,30.78722831,-3.516075146,3.516075146,,
3,2,generic,music,45,0,D,2,-4.783198831,4.783198831,-75.16970247,75.16970247,,
3,2,generic,music,0,-16.875,C,3,5.790983614,5.790983614,-25.83335728,25.83335728,,
3,2,generic,music,45,0,D,3,10.6907573,10.6907573,-19.68336268,19.68336268,,
3,2,generic,music,65,73.125,E,4,6.642967851,6.642967851,19.24495509,19.24495509,,
3,2,generic,music,-35,39.375,B,2,-4.00077544,4.00077544,5.904852541,5.904852541,,
3,2,generic,music,-35,39.375,B,3,-21.05313188,21.05313188,-0.845853058,0.845853058,,
3,2,generic,music,-35,39.375,B,4,-14.5054137,14.5054137,3.1916649,3.1916649,,
3,2,generic,music,45,0,D,4,-18.98066382,18.98066382,-71.42948447,71.42948447,,
3,2,generic,music,0,-16.875,C,4,-3.024492689,3.024492689,-42.83840154,42.83840154,,
4,2,est,music,65,73.125,E,1,-22.40422325,22.40422325,97.08058892,97.08058892,,
4,2,est,music,45,0,D,1,-1.412947827,1.412947827,1.991596195,1.991596195,,
4,2,est,music,45,0,D,2,3.446333501,3.446333501,4.333910085,4.333910085,,
4,2,est,music,-80,-22.5,A,1,-13.79737807,13.79737807,4.282054423,4.282054423,,
4,2,est,music,65,73.125,E,2,-16.87711403,16.87711403,1.06083178,1.06083178,,
4,2,est,music,65,73.125,E,3,-8.873861883,8.873861883,54.58408919,54.58408919,,
4,2,est,music,-80,-22.5,A,2,4.241199213,4.241199213,9.730365896,9.730365896,,
4,2,est,music,-35,39.375,B,1,-3.984859399,3.984859399,29.24903414,29.24903414,,
4,2,est,music,-35,39.375,B,2,-10.48759206,10.48759206,40.34681781,40.34681781,,
4,2,est,music,0,-16.875,C,1,-3.275157238,3.275157238,-5.840838004,5.840838004,,
4,2,est,music,-35,39.375,B,3,-5.595452409,5.595452409,36.75371973,36.75371973,,
4,2,est,music,65,73.125,E,4,-17.57644553,17.57644553,110.7962894,110.7962894,,
4,2,est,music,0,-16.875,C,2,2.239347535,2.239347535,-17.99919226,17.99919226,,
4,2,est,music,-80,-22.5,A,3,0.865017639,0.865017639,46.95782498,46.95782498,,
4,2,est,music,-80,-22.5,A,4,-7.469785583,7.469785583,4.443649838,4.443649838,,
4,2,est,music,0,-16.875,C,3,-26.62444622,26.62444622,-27.56295848,27.56295848,,
4,2,est,music,0,-16.875,C,4,-15.73586736,15.73586736,-21.61659767,21.61659767,,
4,2,est,music,45,0,D,3,8.339144754,8.339144754,1.179420034,1.179420034,,
4,2,est,music,45,0,D,4,-3.54364098,3.54364098,-18.36719842,18.36719842,,
4,2,est,music,-35,39.375,B,4,10.39823231,10.39823231,39.57669019,39.57669019,,
4,2,est,speech,-35,39.375,B,1,-0.802954413,0.802954413,37.46600525,37.46600525,,
4,2,est,speech,0,-16.875,C,1,3.602400728,3.602400728,-35.86095879,35.86095879,,
4,2,est,speech,65,73.125,E,1,-19.73337312,19.73337312,5.525098625,5.525098625,,
4,2,est,speech,45,0,D,1,3.796099065,3.796099065,-35.32327487,35.32327487,,
4,2,est,speech,-35,39.375,B,2,15.83999894,15.83999894,18.84580175,18.84580175,,
4,2,est,speech,65,73.125,E,2,4.404578319,4.404578319,82.2169351,82.2169351,,
4,2,est,speech,-80,-22.5,A,1,3.986619261,3.986619261,-23.54662173,23.54662173,,
4,2,est,speech,65,73.125,E,3,-10.85132068,10.85132068,83.04818632,83.04818632,,
4,2,est,speech,-80,-22.5,A,2,-0.470953586,0.470953586,-4.638117674,4.638117674,,
4,2,est,speech,45,0,D,2,-10.62718182,10.62718182,-22.49090309,22.49090309,,
4,2,est,speech,0,-16.875,C,2,-0.27554135,0.27554135,-27.13621123,27.13621123,,
4,2,est,speech,-35,39.375,B,3,7.775622928,7.775622928,4.428967895,4.428967895,,
4,2,est,speech,-80,-22.5,A,3,-19.18518027,19.18518027,-13.45518713,13.45518713,,
4,2,est,speech,45,0,D,3,7.046428199,7.046428199,-21.29439327,21.29439327,,
4,2,est,speech,65,73.125,E,4,-1.328816074,1.328816074,75.45042093,75.45042093,,
4,2,est,speech,0,-16.875,C,3,2.959180815,2.959180815,-15.40957975,15.40957975,,
4,2,est,speech,45,0,D,4,18.46332062,18.46332062,-10.51804402,10.51804402,,
4,2,est,speech,0,-16.875,C,4,2.484116481,2.484116481,-6.71225889,6.71225889,,
4,2,est,speech,-35,39.375,B,4,-1.129600262,1.129600262,26.75834568,26.75834568,,
4,2,est,speech,-80,-22.5,A,4,-13.99676768,13.99676768,13.79645208,13.79645208,,
4,2,est,noise,-35,39.375,B,1,31.68573717,31.68573717,-36.843059,36.843059,,
4,2,est,noise,45,0,D,1,-43.40026071,43.40026071,37.48225349,37.48225349,,
4,2,est,noise,0,-16.875,C,1,4.98647342,4.98647342,-4.834234328,4.834234328,,
4,2,est,noise,65,73.125,E,1,-5.529354217,5.529354217,81.42557402,81.42557402,,
4,2,est,noise,-35,39.375,B,2,39.79052326,39.79052326,-6.365817233,6.365817233,,
4,2,est,noise,65,73.125,E,2,5.154245977,5.154245977,78.44931981,78.44931981,,
4,2,est,noise,0,-16.875,C,2,8.544511503,8.544511503,5.531234567,5.531234567,,
4,2,est,noise,-80,-22.5,A,1,-3.094183787,3.094183787,47.20543471,47.20543471,,
4,2,est,noise,-35,39.375,B,3,2.213285241,2.213285241,12.24541738,12.24541738,,
4,2,est,noise,-80,-22.5,A,2,-15.27629265,15.27629265,-2.109434563,2.109434563,,
4,2,est,noise,45,0,D,2,-19.4308744,19.4308744,-24.88837758,24.88837758,,
4,2,est,noise,-35,39.375,B,4,16.01568008,16.01568008,-0.263063348,0.263063348,,
